icd10,description
"S95","Injury of blood vessels at ankle and foot level"
"S950","Injury of dorsal artery of foot"
"S951","Injury of plantar artery of foot"
"S952","Injury of dorsal vein of foot"
"S957","Injury of multiple blood vessels at ankle and foot level"
"S958","Injury of other blood vessels at ankle and foot level"
"S959","Injury of unspecified blood vessel at ankle and foot level"
"S96","Injury of muscle and tendon at ankle and foot level"
"S960","Injury of muscle and tendon of long flexor muscle of toe at ankle and foot level"
"S961","Injury of muscle and tendon of long extensor muscle of toe at ankle and foot level"
"S962","Injury of intrinsic muscle and tendon at ankle and foot level"
"S967","Injury of multiple muscles and tendons at ankle and foot level"
"S968","Injury of other muscles and tendons at ankle and foot level"
"S969","Injury of unspecified muscle and tendon at ankle and foot level"
"S97","Crushing injury of ankle and foot"
"S970","Crushing injury of ankle"
"S971","Crushing injury of toe(s)"
"S978","Crushing injury of other parts of ankle and foot"
"S98","Traumatic amputation of ankle and foot"
"S980","Traumatic amputation of foot at ankle level"
"S981","Traumatic amputation of one toe"
"S982","Traumatic amputation of two or more toes"
"S983","Traumatic amputation of other parts of foot"
"S984","Traumatic amputation of foot, level unspecified"
"S99","Other and unspecified injuries of ankle and foot"
"S997","Multiple injuries of ankle and foot"
"S998","Other specified injuries of ankle and foot"
"S999","Unspecified injury of ankle and foot"
"T00","Superficial injuries involving multiple body regions"
"T000","Superficial injuries involving head with neck"
"T001","Superficial injuries involving thorax with abdomen, lower back and pelvis"
"T002","Superficial injuries involving multiple regions of upper limb(s)"
"T003","Superficial injuries involving multiple regions of lower limb(s)"
"T006","Superficial injuries involving multiple regions of upper limb(s) with lower limb(s)"
"T008","Superficial injuries involving other combinations of body regions"
"T009","Multiple superficial injuries, unspecified"
"T01","Open wounds involving multiple body regions"
"T010","Open wounds involving head with neck"
"T011","Open wounds involving thorax with abdomen, lower back and pelvis"
"T012","Open wounds involving multiple regions of upper limb(s)"
"T013","Open wounds involving multiple regions of lower limb(s)"
"T016","Open wounds involving multiple regions of upper limb(s) with lower limb(s)"
"T018","Open wounds involving other combinations of body regions"
"T019","Multiple open wounds, unspecified"
"T02","Fractures involving multiple body regions"
"T020","Fractures involving head with neck"
"T021","Fractures involving thorax with lower back and pelvis"
"T022","Fractures involving multiple regions of one upper limb"
"T023","Fractures involving multiple regions of one lower limb"
"T024","Fractures involving multiple regions of both upper limbs"
"T025","Fractures involving multiple regions of both lower limbs"
"T026","Fractures involving multiple regions of upper limb(s) with lower limb(s)"
"T027","Fractures involving thorax with lower back and pelvis with limb(s)"
"T028","Fractures involving other combinations of body regions"
"T029","Multiple fractures, unspecified"
"T03","Dislocations, sprains and strains involving multiple body regions"
"T030","Dislocations, sprains and strains involving head with neck"
"T031","Dislocations, sprains and strains involving thorax with lower back and pelvis"
"T032","Dislocations, sprains and strains involving multiple regions of upper limb(s)"
"T033","Dislocations, sprains and strains involving multiple regions of lower limb(s)"
"T034","Dislocations, sprains and strains involving multiple regions of upper limb(s) with lower limb(s)"
"T038","Dislocations, sprains and strains involving other combinations of body regions"
"T039","Multiple dislocations, sprains and strains, unspecified"
"T04","Crushing injuries involving multiple body regions"
"T040","Crushing injuries involving head with neck"
"T041","Crushing injuries involving thorax with abdomen, lower back and pelvis"
"T042","Crushing injuries involving multiple regions of upper limb(s)"
"T043","Crushing injuries involving multiple regions of lower limb(s)"
"T044","Crushing injuries involving multiple regions of upper limb(s) with lower limb(s)"
"T047","Crushing injuries of thorax with abdomen, lower back and pelvis with limb(s)"
"T048","Crushing injuries involving other combinations of body regions"
"T049","Multiple crushing injuries, unspecified"
"T05","Traumatic amputations involving multiple body regions"
"T050","Traumatic amputation of both hands"
"T051","Traumatic amputation of one hand and other arm [any level, except hand]"
"T052","Traumatic amputation of both arms [any level]"
"T053","Traumatic amputation of both feet"
"T054","Traumatic amputation of one foot and other leg [any level, except foot]"
"T055","Traumatic amputation of both legs [any level]"
"T056","Traumatic amputation of upper and lower limbs, any combination [any level]"
"T058","Traumatic amputations involving other combinations of body regions"
"T059","Multiple traumatic amputations, unspecified"
"T06","Other injuries involving multiple body regions, not elsewhere classified"
"T060","Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level"
"T061","Injuries of nerves and spinal cord involving other multiple body regions"
"T062","Injuries of nerves involving multiple body regions"
"T063","Injuries of blood vessels involving multiple body regions"
"T064","Injuries of muscles and tendons involving multiple body regions"
"T065","Injuries of intrathoracic organs with intra-abdominal and pelvic organs"
"T068","Other specified injuries involving multiple body regions"
"T07","Unspecified multiple injuries"
"T08","Fracture of spine, level unspecified"
"T09","Other injuries of spine and trunk, level unspecified"
"T090","Superficial injury of trunk, level unspecified"
"T091","Open wound of trunk, level unspecified"
"T092","Dislocation, sprain and strain of unspecified joint and ligament of trunk"
"T093","Injury of spinal cord, level unspecified"
"T094","Injury of unspecified nerve, spinal nerve root and plexus of trunk"
"T095","Injury of unspecified muscle and tendon of trunk"
"T096","Traumatic amputation of trunk, level unspecified"
"T098","Other specified injuries of trunk, level unspecified"
"T099","Unspecified injury of trunk, level unspecified"
"T10","Fracture of upper limb, level unspecified"
"T11","Other injuries of upper limb, level unspecified"
"T110","Superficial injury of upper limb, level unspecified"
"T111","Open wound of upper limb, level unspecified"
"T112","Dislocation, sprain and strain of unspecified joint and ligament of upper limb, level unspecified"
"T113","Injury of unspecified nerve of upper limb, level unspecified"
"T114","Injury of unspecified blood vessel of upper limb, level unspecified"
"T115","Injury of unspecified muscle and tendon of upper limb, level unspecified"
"T116","Traumatic amputation of upper limb, level unspecified"
"T118","Other specified injuries of upper limb, level unspecified"
"T119","Unspecified injury of upper limb, level unspecified"
"T12","Fracture of lower limb, level unspecified"
"T13","Other injuries of lower limb, level unspecified"
"T130","Superficial injury of lower limb, level unspecified"
"T131","Open wound of lower limb, level unspecified"
"T132","Dislocation, sprain and strain of unspecified joint and ligament of lower limb, level unspecified"
"T133","Injury of unspecified nerve of lower limb, level unspecified"
"T134","Injury of unspecified blood vessel of lower limb, level unspecified"
"T135","Injury of unspecified muscle and tendon of lower limb, level unspecified"
"T136","Traumatic amputation of lower limb, level unspecified"
"T138","Other specified injuries of lower limb, level unspecified"
"T139","Unspecified injury of lower limb, level unspecified"
"T14","Injury of unspecified body region"
"T140","Superficial injury of unspecified body region"
"T141","Open wound of unspecified body region"
"T142","Fracture of unspecified body region"
"T143","Dislocation, sprain and strain of unspecified body region"
"T144","Injury of nerve(s) of unspecified body region"
"T145","Injury of blood vessel(s) of unspecified body region"
"T146","Injury of muscles and tendons of unspecified body region"
"T147","Crushing injury and traumatic amputation of unspecified body region"
"T148","Other injuries of unspecified body region"
"T149","Injury, unspecified"
"T15","Foreign body on external eye"
"T150","Foreign body in cornea"
"T151","Foreign body in conjunctival sac"
"T158","Foreign body in other and multiple parts of external eye"
"T159","Foreign body on external eye, part unspecified"
"T16","Foreign body in ear"
"T17","Foreign body in respiratory tract"
"T170","Foreign body in nasal sinus"
"T171","Foreign body in nostril"
"T172","Foreign body in pharynx"
"T173","Foreign body in larynx"
"T174","Foreign body in trachea"
"T175","Foreign body in bronchus"
"T178","Foreign body in other and multiple parts of respiratory tract"
"T179","Foreign body in respiratory tract, part unspecified"
"T18","Foreign body in alimentary tract"
"T180","Foreign body in mouth"
"T181","Foreign body in oesophagus"
"T182","Foreign body in stomach"
"T183","Foreign body in small intestine"
"T184","Foreign body in colon"
"T185","Foreign body in anus and rectum"
"T188","Foreign body in other and multiple parts of alimentary tract"
"T189","Foreign body in alimentary tract, part unspecified"
"T19","Foreign body in genitourinary tract"
"T190","Foreign body in urethra"
"T191","Foreign body in bladder"
"T192","Foreign body in vulva and vagina"
"T193","Foreign body in uterus [any part]"
"T198","Foreign body in other and multiple parts of genitourinary tract"
"T199","Foreign body in genitourinary tract, part unspecified"
"T20","Burn and corrosion of head and neck"
"T200","Burn of unspecified degree of head and neck"
"T201","Burn of first degree of head and neck"
"T202","Burn of second degree of head and neck"
"T203","Burn of third degree of head and neck"
"T204","Corrosion of unspecified degree of head and neck"
"T205","Corrosion of first degree of head and neck"
"T206","Corrosion of second degree of head and neck"
"T207","Corrosion of third degree of head and neck"
"T21","Burn and corrosion of trunk"
"T210","Burn of unspecified degree of trunk"
"T211","Burn of first degree of trunk"
"T212","Burn of second degree of trunk"
"T213","Burn of third degree of trunk"
"T214","Corrosion of unspecified degree of trunk"
"T215","Corrosion of first degree of trunk"
"T216","Corrosion of second degree of trunk"
"T217","Corrosion of third degree of trunk"
"T22","Burn and corrosion of shoulder and upper limb, except wrist and hand"
"T220","Burn of unspecified degree of shoulder and upper limb, except wrist and hand"
"T221","Burn of first degree of shoulder and upper limb, except wrist and hand"
"T222","Burn of second degree of shoulder and upper limb, except wrist and hand"
"T223","Burn of third degree of shoulder and upper limb, except wrist and hand"
"T224","Corrosion of unspecified degree of shoulder and upper limb, except wrist and hand"
"T225","Corrosion of first degree of shoulder and upper limb, except wrist and hand"
"T226","Corrosion of second degree of shoulder and upper limb, except wrist and hand"
"T227","Corrosion of third degree of shoulder and upper limb, except wrist and hand"
"T23","Burn and corrosion of wrist and hand"
"T230","Burn of unspecified degree of wrist and hand"
"T231","Burn of first degree of wrist and hand"
"T232","Burn of second degree of wrist and hand"
"T233","Burn of third degree of wrist and hand"
"T234","Corrosion of unspecified degree of wrist and hand"
"T235","Corrosion of first degree of wrist and hand"
"T236","Corrosion of second degree of wrist and hand"
"T237","Corrosion of third degree of wrist and hand"
"T24","Burn and corrosion of hip and lower limb, except ankle and foot"
"T240","Burn of unspecified degree of hip and lower limb, except ankle and foot"
"T241","Burn of first degree of hip and lower limb, except ankle and foot"
"T242","Burn of second degree of hip and lower limb, except ankle and foot"
"T243","Burn of third degree of hip and lower limb, except ankle and foot"
"T244","Corrosion of unspecified degree of hip and lower limb, except ankle and foot"
"T245","Corrosion of first degree of hip and lower limb, except ankle and foot"
"T246","Corrosion of second degree of hip and lower limb, except ankle and foot"
"T247","Corrosion of third degree of hip and lower limb, except ankle and foot"
"T25","Burn and corrosion of ankle and foot"
"T250","Burn of unspecified degree of ankle and foot"
"T251","Burn of first degree of ankle and foot"
"T252","Burn of second degree of ankle and foot"
"T253","Burn of third degree of ankle and foot"
"T254","Corrosion of unspecified degree of ankle and foot"
"T255","Corrosion of first degree of ankle and foot"
"T256","Corrosion of second degree of ankle and foot"
"T257","Corrosion of third degree of ankle and foot"
"T26","Burn and corrosion confined to eye and adnexa"
"T260","Burn of eyelid and periocular area"
"T261","Burn of cornea and conjunctival sac"
"T262","Burn with resulting rupture and destruction of eyeball"
"T263","Burn of other parts of eye and adnexa"
"T264","Burn of eye and adnexa, part unspecified"
"T265","Corrosion of eyelid and periocular area"
"T266","Corrosion of cornea and conjunctival sac"
"T267","Corrosion with resulting rupture and destruction of eyeball"
"T268","Corrosion of other parts of eye and adnexa"
"T269","Corrosion of eye and adnexa, part unspecified"
"T27","Burn and corrosion of respiratory tract"
"T270","Burn of larynx and trachea"
"T271","Burn involving larynx and trachea with lung"
"T272","Burn of other parts of respiratory tract"
"T273","Burn of respiratory tract, part unspecified"
"T274","Corrosion of larynx and trachea"
"T275","Corrosion involving larynx and trachea with lung"
"T276","Corrosion of other parts of respiratory tract"
"T277","Corrosion of respiratory tract, part unspecified"
"T28","Burn and corrosion of other internal organs"
"T280","Burn of mouth and pharynx"
"T281","Burn of oesophagus"
"T282","Burn of other parts of alimentary tract"
"T283","Burn of internal genitourinary organs"
"T284","Burn of other and unspecified internal organs"
"T285","Corrosion of mouth and pharynx"
"T286","Corrosion of oesophagus"
"T287","Corrosion of other parts of alimentary tract"
"T288","Corrosion of internal genitourinary organs"
"T289","Corrosion of other and unspecified internal organs"
"T29","Burns and corrosions of multiple body regions"
"T290","Burns of multiple regions, unspecified degree"
"T291","Burns of multiple regions, no more than first-degree burns mentioned"
"T292","Burns of multiple regions, no more than second-degree burns mentioned"
"T293","Burns of multiple regions, at least one burn of third degree mentioned"
"T294","Corrosions of multiple regions, unspecified degree"
"T295","Corrosions of multiple regions, no more than first-degree corrosions mentioned"
"T296","Corrosions of multiple regions, no more than second-degree corrosions mentioned"
"T297","Corrosions of multiple regions, at least one corrosion of third degree mentioned"
"T30","Burn and corrosion, body region unspecified"
"T300","Burn of unspecified body region, unspecified degree"
"T301","Burn of first degree, body region unspecified"
"T302","Burn of second degree, body region unspecified"
"T303","Burn of third degree, body region unspecified"
"T304","Corrosion of unspecified body region, unspecified degree"
"T305","Corrosion of first degree, body region unspecified"
"T306","Corrosion of second degree, body region unspecified"
"T307","Corrosion of third degree, body region unspecified"
"T31","Burns classified according to extent of body surface involved"
"T310","Burns involving less than 10% of body surface"
"T311","Burns involving 10-19% of body surface"
"T312","Burns involving 20-29% of body surface"
"T313","Burns involving 30-39% of body surface"
"T314","Burns involving 40-49% of body surface"
"T315","Burns involving 50-59% of body surface"
"T316","Burns involving 60-69% of body surface"
"T317","Burns involving 70-79% of body surface"
"T318","Burns involving 80-89% of body surface"
"T319","Burns involving 90% or more of body surface"
"T32","Corrosions classified according to extent of body surface involved"
"T320","Corrosions involving less than 10% of body surface"
"T321","Corrosions involving 10-19% of body surface"
"T322","Corrosions involving 20-29% of body surface"
"T323","Corrosions involving 30-39% of body surface"
"T324","Corrosions involving 40-49% of body surface"
"T325","Corrosions involving 50-59% of body surface"
"T326","Corrosions involving 60-69% of body surface"
"T327","Corrosions involving 70-79% of body surface"
"T328","Corrosions involving 80-89% of body surface"
"T329","Corrosions involving 90% or more of body surface"
"T33","Superficial frostbite"
"T330","Superficial frostbite of head"
"T331","Superficial frostbite of neck"
"T332","Superficial frostbite of thorax"
"T333","Superficial frostbite of abdominal wall, lower back and pelvis"
"T334","Superficial frostbite of arm"
"T335","Superficial frostbite of wrist and hand"
"T336","Superficial frostbite of hip and thigh"
"T337","Superficial frostbite of knee and lower leg"
"T338","Superficial frostbite of ankle and foot"
"T339","Superficial frostbite of other and unspecified sites"
"T34","Frostbite with tissue necrosis"
"T340","Frostbite with tissue necrosis of head"
"T341","Frostbite with tissue necrosis of neck"
"T342","Frostbite with tissue necrosis of thorax"
"T343","Frostbite with tissue necrosis of abdominal wall, lower back and pelvis"
"T344","Frostbite with tissue necrosis of arm"
"T345","Frostbite with tissue necrosis of wrist and hand"
"T346","Frostbite with tissue necrosis of hip and thigh"
"T347","Frostbite with tissue necrosis of knee and lower leg"
"T348","Frostbite with tissue necrosis of ankle and foot"
"T349","Frostbite with tissue necrosis of other and unspecified sites"
"T35","Frostbite involving multiple body regions and unspecified frostbite"
"T350","Superficial frostbite involving multiple body regions"
"T351","Frostbite with tissue necrosis involving multiple body regions"
"T352","Unspecified frostbite of head and neck"
"T353","Unspecified frostbite of thorax, abdomen, lower back and pelvis"
"T354","Unspecified frostbite of upper limb"
"T355","Unspecified frostbite of lower limb"
"T356","Unspecified frostbite involving multiple body regions"
"T357","Unspecified frostbite of unspecified site"
"T36","Poisoning by systemic antibiotics"
"T360","Penicillins"
"T361","Cefalosporins and other beta-lactam antibiotics"
"T362","Chloramphenicol group"
"T363","Macrolides"
"T364","Tetracyclines"
"T365","Aminoglycosides"
"T366","Rifamycins"
"T367","Antifungal antibiotics, systemically used"
"T368","Other systemic antibiotics"
"T369","Systemic antibiotic, unspecified"
"T37","Poisoning by other systemic anti-infectives and antiparasitics"
"T370","Sulfonamides"
"T371","Antimycobacterial drugs"
"T372","Antimalarials and drugs acting on other blood protozoa"
"T373","Other antiprotozoal drugs"
"T374","Anthelminthics"
"T375","Antiviral drugs"
"T378","Other specified systemic anti-infectives and antiparasitics"
"T379","Systemic anti-infective and antiparasitic, unspecified"
"T38","Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified"
"T380","Glucocorticoids and synthetic analogues"
"T381","Thyroid hormones and substitutes"
"T382","Antithyroid drugs"
"T383","Insulin and oral hypoglycaemic [antidiabetic] drugs"
"T384","Oral contraceptives"
"T385","Other estrogens and progestogens"
"T386","Antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified"
"T387","Androgens and anabolic congeners"
"T388","Other and unspecified hormones and their synthetic substitutes"
"T389","Other and unspecified hormone antagonists"
"T39","Poisoning by nonopioid analgesics, antipyretics and antirheumatics"
"T390","Salicylates"
"T391","4-Aminophenol derivatives"
"T392","Pyrazolone derivatives"
"T393","Other nonsteroidal anti-inflammatory drugs [NSAID]"
"T394","Antirheumatics, not elsewhere classified"
"T398","Other nonopioid analgesics and antipyretics, not elsewhere classified"
"T399","Nonopioid analgesic, antipyretic and antirheumatic, unspecified"
"T40","Poisoning by narcotics and psychodysleptics [hallucinogens]"
"T400","Opium"
"T401","Heroin"
"T402","Other opioids"
"T403","Methadone"
"T404","Other synthetic narcotics"
"T405","Cocaine"
"T406","Other and unspecified narcotics"
"T407","Cannabis (derivatives)"
"T408","Lysergide [LSD]"
"T409","Other and unspecified psychodysleptics [hallucinogens]"
"T41","Poisoning by anaesthetics and therapeutic gases"
"T410","Inhaled anaesthetics"
"T411","Intravenous anaesthetics"
"T412","Other and unspecified general anaesthetics"
"T413","Local anaesthetics"
"T414","Anaesthetic, unspecified"
"T415","Therapeutic gases"
"T42","Poisoning by antiepileptic, sedative-hypnotic and antiparkinsonism drugs"
"T420","Hydantoin derivatives"
"T421","Iminostilbenes"
"T422","Succinimides and oxazolidinediones"
"T423","Barbiturates"
"T424","Benzodiazepines"
"T425","Mixed antiepileptics, not elsewhere classified"
"T426","Other antiepileptic and sedative-hypnotic drugs"
"T427","Antiepileptic and sedative-hypnotic drugs, unspecified"
"T428","Antiparkinsonism drugs and other central muscle-tone depressants"
"T43","Poisoning by psychotropic drugs, not elsewhere classified"
"T430","Tricyclic and tetracyclic antidepressants"
"T431","Monoamine-oxidase-inhibitor antidepressants"
"T432","Other and unspecified antidepressants"
"T433","Phenothiazine antipsychotics and neuroleptics"
"T434","Butyrophenone and thioxanthene neuroleptics"
"T435","Other and unspecified antipsychotics and neuroleptics"
"T436","Psychostimulants with abuse potential"
"T438","Other psychotropic drugs, not elsewhere classified"
"T439","Psychotropic drug, unspecified"
"T44","Poisoning by drugs primarily affecting the autonomic nervous system"
"T440","Anticholinesterase agents"
"T441","Other parasympathomimetics [cholinergics]"
"T442","Ganglionic blocking drugs, not elsewhere classified"
"T443","Other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, not elsewhere classified"
"T444","Predominantly alpha-adrenoreceptor agonists, not elsewhere classified"
"T445","Predominantly beta-adrenoreceptor agonists, not elsewhere classified"
"T446","Alpha-adrenoreceptor antagonists, not elsewhere classified"
"T447","Beta-adrenoreceptor antagonists, not elsewhere classified"
"T448","Centrally acting and adrenergic-neuron-blocking agents, not elsewhere classified"
"T449","Other and unspecified drugs primarily affecting the autonomic nervous system"
"T45","Poisoning by primarily systemic and haematological agents, not elsewhere classified"
"T450","Antiallergic and antiemetic drugs"
"T451","Antineoplastic and immunosuppressive drugs"
"T452","Vitamins, not elsewhere classified"
"T453","Enzymes, not elsewhere classified"
"T454","Iron and its compounds"
"T455","Anticoagulants"
"T456","Fibrinolysis-affecting drugs"
"T457","Anticoagulant antagonists, vitamin K and other coagulants"
"T458","Other primarily systemic and haematological agents"
"T459","Primarily systemic and haematological agent, unspecified"
"T46","Poisoning by agents primarily affecting the cardiovascular system"
"T460","Cardiac-stimulant glycosides and drugs of similar action"
"T461","Calcium-channel blockers"
"T462","Other antidysrhythmic drugs, not elsewhere classified"
"T463","Coronary vasodilators, not elsewhere classified"
"T464","Angiotensin-converting-enzyme inhibitors"
"T465","Other antihypertensive drugs, not elsewhere classified"
"T466","Antihyperlipidaemic and antiarteriosclerotic drugs"
"T467","Peripheral vasodilators"
"T468","Antivaricose drugs, including sclerosing agents"
"T469","Other and unspecified agents primarily affecting the cardiovascular system"
"T47","Poisoning by agents primarily affecting the gastrointestinal system"
"T470","-receptor antagonists Histamine H"
"T471","Other antacids and anti-gastric-secretion drugs"
"T472","Stimulant laxatives"
"T473","Saline and osmotic laxatives"
"T474","Other laxatives"
"T475","Digestants"
"T476","Antidiarrhoeal drugs"
"T477","Emetics"
"T478","Other agents primarily affecting the gastrointestinal system"
"T479","Agent primarily affecting the gastrointestinal system, unspecified"
"T48","Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system"
"T480","Oxytocic drugs"
"T481","Skeletal muscle relaxants [neuromuscular blocking agents]"
"T482","Other and unspecified agents primarily acting on muscles"
"T483","Antitussives"
"T484","Expectorants"
"T485","Anti-common-cold drugs"
"T486","Antiasthmatics, not elsewhere classified"
"T487","Other and unspecified agents primarily acting on the respiratory system"
"T49","Poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinolaryngological and dental drugs"
"T490","Local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified"
"T491","Antipruritics"
"T492","Local astringents and local detergents"
"T493","Emollients, demulcents and protectants"
"T494","Keratolytics, keratoplastics and other hair treatment drugs and preparations"
"T495","Ophthalmological drugs and preparations"
"T496","Otorhinolaryngological drugs and preparations"
"T497","Dental drugs, topically applied"
"T498","Other topical agents"
"T499","Topical agent, unspecified"
"T50","Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances"
"T500","Mineralocorticoids and their antagonists"
"T501","Loop [high-ceiling] diuretics"
"T502","Carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics"
"T503","Electrolytic, caloric and water-balance agents"
"T504","Drugs affecting uric acid metabolism"
"T505","Appetite depressants"
"T506","Antidotes and chelating agents, not elsewhere classified"
"T507","Analeptics and opioid receptor antagonists"
"T508","Diagnostic agents"
"T509","Other and unspecified drugs, medicaments and biological substances"
"T51","Toxic effect of alcohol"
"T510","Ethanol"
"T511","Methanol"
"T512","2-Propanol"
"T513","Fusel oil"
"T518","Other alcohols"
"T519","Alcohol, unspecified"
"T52","Toxic effect of organic solvents"
"T520","Petroleum products"
"T521","Benzene"
"T522","Homologues of benzene"
"T523","Glycols"
"T524","Ketones"
"T528","Other organic solvents"
"T529","Organic solvent, unspecified"
"T53","Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons"
"T530","Carbon tetrachloride"
"T531","Chloroform"
"T532","Trichloroethylene"
"T533","Tetrachloroethylene"
"T534","Dichloromethane"
"T535","Chlorofluorocarbons"
"T536","Other halogen derivatives of aliphatic hydrocarbons"
"T537","Other halogen derivatives of aromatic hydrocarbons"
"T539","Halogen derivative of aliphatic and aromatic hydrocarbons, unspecified"
"T54","Toxic effect of corrosive substances"
"T540","Phenol and phenol homologues"
"T541","Other corrosive organic compounds"
"T542","Corrosive acids and acid-like substances"
"T543","Corrosive alkalis and alkali-like substances"
"T549","Corrosive substance, unspecified"
"T55","Toxic effect of soaps and detergents"
"T56","Toxic effect of metals"
"T560","Lead and its compounds"
"T561","Mercury and its compounds"
"T562","Chromium and its compounds"
"T563","Cadmium and its compounds"
"T564","Copper and its compounds"
"T565","Zinc and its compounds"
"T566","Tin and its compounds"
"T567","Beryllium and its compounds"
"T568","Other metals"
"T569","Metal, unspecified"
"T57","Toxic effect of other inorganic substances"
"T570","Arsenic and its compounds"
"T571","Phosphorus and its compounds"
"T572","Manganese and its compounds"
"T573","Hydrogen cyanide"
"T578","Other specified inorganic substances"
"T579","Inorganic substance, unspecified"
"T58","Toxic effect of carbon monoxide"
"T59","Toxic effect of other gases, fumes and vapours"
"T590","Nitrogen oxides"
"T591","Sulfur dioxide"
"T592","Formaldehyde"
"T593","Lacrimogenic gas"
"T594","Chlorine gas"
"T595","Fluorine gas and hydrogen fluoride"
"T596","Hydrogen sulfide"
"T597","Carbon dioxide"
"T598","Other specified gases, fumes and vapours"
"T599","Gases, fumes and vapours, unspecified"
"T60","Toxic effect of pesticides"
"T600","Organophosphate and carbamate insecticides"
"T601","Halogenated insecticides"
"T602","Other and unspecified insecticides"
"T603","Herbicides and fungicides"
"T604","Rodenticides"
"T608","Other pesticides"
"T609","Pesticide, unspecified"
"T61","Toxic effect of noxious substances eaten as seafood"
"T610","Ciguatera fish poisoning"
"T611","Scombroid fish poisoning"
"T612","Other fish and shellfish poisoning"
"T618","Toxic effect of other seafoods"
"T619","Toxic effect of unspecified seafood"
"T62","Toxic effect of other noxious substances eaten as food"
"T620","Ingested mushrooms"
"T621","Ingested berries"
"T622","Other ingested (parts of) plant(s)"
"T628","Other specified noxious substances eaten as food"
"T629","Noxious substance eaten as food, unspecified"
"T63","Toxic effect of contact with venomous animals"
"T630","Snake venom"
"T631","Venom of other reptiles"
"T632","Venom of scorpion"
"T633","Venom of spider"
"T634","Venom of other arthropods"
"T635","Toxic effect of contact with fish"
"T636","Toxic effect of contact with other marine animals"
"T638","Toxic effect of contact with other venomous animals"
"T639","Toxic effect of contact with unspecified venomous animal"
"T64","Toxic effect of aflatoxin and other mycotoxin food contaminants"
"T65","Toxic effect of other and unspecified substances"
"T650","Cyanides"
"T651","Strychnine and its salts"
"T652","Tobacco and nicotine"
"T653","Nitroderivatives and aminoderivatives of benzene and its homologues"
"T654","Carbon disulfide"
"T655","Nitroglycerin and other nitric acids and esters"
"T656","Paints and dyes, not elsewhere classified"
"T658","Toxic effect of other specified substances"
"T659","Toxic effect of unspecified substance"
"T66","Unspecified effects of radiation"
"T67","Effects of heat and light"
"T670","Heatstroke and sunstroke"
"T671","Heat syncope"
"T672","Heat cramp"
"T673","Heat exhaustion, anhydrotic"
"T674","Heat exhaustion due to salt depletion"
"T675","Heat exhaustion, unspecified"
"T676","Heat fatigue, transient"
"T677","Heat oedema"
"T678","Other effects of heat and light"
"T679","Effect of heat and light, unspecified"
"T68","Hypothermia"
"T69","Other effects of reduced temperature"
"T690","Immersion hand and foot"
"T691","Chilblains"
"T698","Other specified effects of reduced temperature"
"T699","Effect of reduced temperature, unspecified"
"T70","Effects of air pressure and water pressure"
"T700","Otitic barotrauma"
"T701","Sinus barotrauma"
"T702","Other and unspecified effects of high altitude"
"T703","Caisson disease [decompression sickness]"
"T704","Effects of high-pressure fluids"
"T708","Other effects of air pressure and water pressure"
"T709","Effect of air pressure and water pressure, unspecified"
"T71","Asphyxiation"
"T73","Effects of other deprivation"
"T730","Effects of hunger"
"T731","Effects of thirst"
"T732","Exhaustion due to exposure"
"T733","Exhaustion due to excessive exertion"
"T738","Other effects of deprivation"
"T739","Effect of deprivation, unspecified"
"T74","Maltreatment syndromes"
"T740","Neglect or abandonment"
"T741","Physical abuse"
"T742","Sexual abuse"
"T743","Psychological abuse"
"T748","Other maltreatment syndromes"
"T749","Maltreatment syndrome, unspecified"
"T75","Effects of other external causes"
"T750","Effects of lightning"
"T751","Drowning and nonfatal submersion"
"T752","Effects of vibration"
"T753","Motion sickness"
"T754","Effects of electric current"
"T758","Other specified effects of other external causes"
"T76","Unspecified effects of external causes"
"T78","Adverse effects, not elsewhere classified"
"T780","Anaphylactic shock due to adverse food reaction"
"T781","Other adverse food reactions, not elsewhere classified"
"T782","Anaphylactic shock, unspecified"
"T783","Angioneurotic oedema"
"T784","Allergy, unspecified"
"T788","Other adverse effects, not elsewhere classified"
"T789","Adverse effect, unspecified"
"T79","Certain early complications of trauma, not elsewhere classified"
"T790","Air embolism (traumatic)"
"T791","Fat embolism (traumatic)"
"T792","Traumatic secondary and recurrent haemorrhage"
"T793","Post-traumatic wound infection, not elsewhere classified"
"T794","Traumatic shock"
"T795","Traumatic anuria"
"T796","Traumatic ischaemia of muscle"
"T797","Traumatic subcutaneous emphysema"
"T798","Other early complications of trauma"
"T799","Unspecified early complication of trauma"
"T80","Complications following infusion, transfusion and therapeutic injection"
"T800","Air embolism following infusion, transfusion and therapeutic injection"
"T801","Vascular complications following infusion, transfusion and therapeutic injection"
"T802","Infections following infusion, transfusion and therapeutic injection"
"T803","ABO incompatibility reaction"
"T804","Rh incompatibility reaction"
"T805","Anaphylactic shock due to serum"
